Drug Name,Drug Class,Hint 1 (Contraindications),Hint 2 (Adverse effects),Hint 3 (What symptom(s) and disease(s) drug is used to treat),"Hint 4 (what is the effect of this drug? (NOT MOA, but physical impact))",Hint 5 (what makes this drug unique from others in its class?),Hint 6 (MOA)
Clindamycin,Lincosamides,Use caution in patients with prior C. difficile infection.,"It can cause diarrhea, C. difficile colitis, rash, and liver enzyme elevation.","It is used for anaerobic infections above the diaphragm, dental infections, and skin infections.",It suppresses anaerobic bacterial growth and toxin production.,It is strongly associated with antibiotic-associated pseudomembranous colitis.,It binds the 50S ribosomal subunit and inhibits translocation.
Linezolid,Oxazolidinones,Avoid this drug with serotonergic drugs or tyramine-rich intake when risk is high.,"It can cause thrombocytopenia, peripheral neuropathy, optic neuropathy, and serotonin syndrome.",It is used for MRSA and VRE infections.,It stops resistant gram-positive bacteria from making proteins.,It has weak monoamine oxidase inhibitor activity.,It binds the 23S rRNA of the 50S subunit and prevents formation of the initiation complex.
Ciprofloxacin,Fluoroquinolones,Avoid this drug in pregnancy and in patients with tendon disorder risk when possible.,"It can cause tendon rupture, QT prolongation, neuropathy, and cartilage toxicity.","It is used for gram-negative infections, urinary infections, anthrax exposure, and some GI infections.",It kills bacteria and has strong urinary and Pseudomonas activity.,It is a fluoroquinolone with strong gram-negative coverage but weaker pneumococcal coverage.,It inhibits bacterial DNA gyrase and topoisomerase IV.
Levofloxacin,Fluoroquinolones,"Avoid this drug in pregnancy, children, and patients at high tendon rupture risk when possible.","It can cause tendon rupture, QT prolongation, neuropathy, and dysglycemia.","It is used for pneumonia, sinusitis, urinary infections, and some gram-negative infections.",It kills respiratory and urinary pathogens.,It is a respiratory fluoroquinolone with better pneumococcal coverage than ciprofloxacin.,It inhibits bacterial DNA gyrase and topoisomerase IV.
Moxifloxacin,Fluoroquinolones,"Avoid this drug in pregnancy, children, or patients with significant QT prolongation when possible.","It can cause QT prolongation, tendon rupture, neuropathy, and liver injury.",It is used for community-acquired pneumonia and anaerobic respiratory infections.,It kills respiratory pathogens and some anaerobes.,"It has poor urinary levels, so it is not preferred for urinary tract infections.",It inhibits bacterial DNA gyrase and topoisomerase IV.
Metronidazole,Metronidazole,Avoid this drug with alcohol use because of a disulfiram-like reaction.,"It can cause metallic taste, peripheral neuropathy, nausea, and dark urine.","It is used for anaerobic infections, bacterial vaginosis, trichomoniasis, giardiasis, and C. difficile in some settings.",It kills anaerobes and certain protozoa.,It is especially useful against below-the-diaphragm anaerobes and trichomonads.,It forms free radicals that damage microbial DNA.
Sulfamethoxazole,Sulfonamides,Avoid this drug in severe sulfa allergy and near-term pregnancy when possible.,"It can cause rash, photosensitivity, hemolysis in G6PD deficiency, and Stevens-Johnson syndrome.","It is used with another folate inhibitor for urinary, respiratory, and opportunistic infections.",It stops bacterial growth by impairing folate production.,It is rarely used alone because resistance develops easily.,It inhibits dihydropteroate synthase by competing with PABA.
Trimethoprim-Sulfamethoxazole,Trimethoprim,"Avoid this drug in severe sulfa allergy, megaloblastic anemia, or near-term pregnancy when possible.","It can cause rash, hyperkalemia, kidney injury, hemolysis in G6PD deficiency, and Stevens-Johnson syndrome.","It is used for urinary tract infections, Pneumocystis pneumonia, Nocardia, and some MRSA skin infections.",It blocks bacterial folate synthesis at two steps and becomes bactericidal.,It is the classic prophylaxis and treatment option for Pneumocystis pneumonia.,It inhibits dihydropteroate synthase and dihydrofolate reductase.
Amphotericin B,Polyenes,Use caution in kidney disease and avoid if severe infusion reactions cannot be managed.,"It can cause kidney injury, low potassium, low magnesium, fever, chills, and anemia.",It is used for severe systemic fungal infections.,It kills fungi by disrupting their cell membranes.,"It is very broad but famously toxic, especially to the kidneys.",It binds ergosterol and forms pores in fungal cell membranes.
Nystatin,Polyenes,Avoid this drug in systemic fungal infection because it is not absorbed well orally.,"It can cause local irritation, nausea, and diarrhea.","It is used for oral, skin, and vaginal Candida infections.",It kills or suppresses Candida at mucosal surfaces.,"It is used topically or orally for local gut and mouth effects, not bloodstream infections.",It binds ergosterol and forms pores in fungal cell membranes.
Fluconazole,Azoles,Avoid this drug in pregnancy and severe liver disease when possible.,"It can cause liver injury, QT prolongation, rash, and gastrointestinal upset.",It is used for Candida infections and cryptococcal meningitis maintenance therapy.,It slows fungal growth by weakening the fungal cell membrane.,It penetrates cerebrospinal fluid well compared with many azoles.,"It inhibits fungal 14-alpha-demethylase, decreasing ergosterol synthesis."
Itraconazole,Azoles,Avoid this drug in heart failure and significant liver disease when possible.,"It can cause liver injury, edema, high blood pressure, and drug interactions.","It is used for endemic fungal infections, dermatophytes, and some Candida infections.",It slows fungal growth by impairing membrane formation.,It has a negative inotropic effect and can worsen heart failure.,"It inhibits fungal 14-alpha-demethylase, decreasing ergosterol synthesis."
Voriconazole,Azoles,Avoid this drug in pregnancy and use caution in liver disease.,"It can cause visual disturbances, hallucinations, liver injury, photosensitivity, and QT prolongation.",It is used for invasive aspergillosis and serious mold infections.,It slows fungal growth and treats invasive mold disease.,It is especially associated with transient visual changes.,"It inhibits fungal 14-alpha-demethylase, decreasing ergosterol synthesis."
Caspofungin,Echinocandins,Avoid this drug in severe hypersensitivity to echinocandins.,"It can cause fever, liver enzyme elevation, histamine-like infusion reactions, and phlebitis.",It is used for invasive Candida infections and salvage therapy for Aspergillus.,It weakens the fungal cell wall and prevents fungal growth.,It targets the fungal cell wall rather than the fungal membrane.,"It inhibits beta-1,3-D-glucan synthase in the fungal cell wall."
Acyclovir,Nucleoside Analogs,Use dose adjustment in kidney disease and maintain hydration when needed.,"It can cause kidney crystal injury, nausea, headache, and neurotoxicity.",It is used for herpes simplex virus and varicella-zoster virus infections.,It shortens herpes outbreaks and decreases viral replication.,"It requires activation by viral thymidine kinase, so infected cells are targeted.",It is phosphorylated by viral thymidine kinase and inhibits viral DNA polymerase.
Ganciclovir,Nucleoside Analogs,Avoid this drug in severe bone marrow suppression when alternatives exist.,"It can cause neutropenia, anemia, kidney injury, and teratogenicity.","It is used for cytomegalovirus infections, especially in immunocompromised patients.",It suppresses CMV replication and protects organs such as the retina.,It has more bone marrow toxicity than many herpes antivirals.,It is phosphorylated by viral kinase and inhibits viral DNA polymerase.
Ribavirin,Nucleoside Analogs,Avoid this drug in pregnancy when possible because of teratogenic concern.,"It can cause hemolytic anemia, rash, fatigue, and birth defects.",It is used for respiratory syncytial virus in select cases and some viral hemorrhagic fevers.,It interferes with viral RNA production.,It is remembered for hemolytic anemia and major teratogenicity.,It inhibits viral RNA synthesis by interfering with guanosine nucleotide formation and RNA polymerase activity.
Oseltamivir,Neuraminidase Inhibitors,Use caution in kidney disease and neuropsychiatric history.,"It can cause nausea, vomiting, headache, and rare confusion or abnormal behavior.",It is used to treat and prevent influenza A and B.,It shortens flu symptoms if started early.,It is taken by mouth and is most useful within 48 hours of symptom onset.,"It inhibits viral neuraminidase, preventing release of new influenza virions."
Zanamivir,Neuraminidase Inhibitors,Avoid this drug in asthma or COPD because it can cause bronchospasm.,"It can cause cough, bronchospasm, nasal irritation, and headache.",It is used to treat and prevent influenza A and B.,It limits spread of influenza virus in the airways.,"It is inhaled, which is why airway disease is a key concern.","It inhibits viral neuraminidase, blocking release of new influenza virions."
Chloroquine,Quinoline Antimalarials,"Avoid this drug in psoriasis, retinal disease, or severe G6PD deficiency when possible.","It can cause retinopathy, itching, gastrointestinal upset, and hemolysis in G6PD deficiency.",It is used for malaria treatment and prophylaxis in sensitive regions.,It kills blood-stage parasites and improves malaria symptoms.,"Resistance is widespread, so it only works in selected geographic areas.",It blocks heme polymerization in the parasite food vacuole.
Quinine,Quinoline Antimalarials,"Use caution in pregnancy, G6PD deficiency, and heart rhythm disorders.","It can cause cinchonism, hypoglycemia, hemolysis, and QT prolongation.",It is used for severe malaria when appropriate alternatives are unavailable.,It kills blood-stage malaria parasites.,"It is associated with tinnitus, headache, and visual symptoms called cinchonism.",It interferes with heme detoxification in the parasite food vacuole.
